numar_factura,data
2410005466,1/31/2024
2410005469,1/31/2024
2410005471,2/1/2024
2410005474,2/1/2024
2410005476,2/1/2024
2410005479,2/1/2024
2410005480,2/1/2024
2410005506,2/1/2024
2410005507,2/1/2024
2410005508,2/1/2024
2410005510,2/1/2024
2410005517,2/1/2024
2410005519,2/1/2024
2410005526,2/1/2024
2410005527,2/1/2024
2410005533,2/1/2024
2410005540,2/1/2024
2410005545,2/1/2024
2410005547,2/1/2024
2410005549,2/1/2024
2410005555,2/1/2024
2410005567,2/1/2024
2410005582,2/1/2024
2410005586,2/1/2024
2410005592,2/1/2024
2410005595,2/1/2024
2410005600,2/1/2024
2410005607,2/1/2024
2410005609,2/1/2024
2410005622,2/1/2024
2410005623,2/1/2024
2410005627,2/1/2024
2410005630,2/1/2024
2410005632,2/1/2024
2410005641,2/1/2024
2410005643,2/1/2024
2410005650,2/1/2024
2410005661,2/1/2024
2410005662,2/1/2024
2410005665,2/1/2024
2410005668,2/1/2024
2410005669,2/1/2024
2410005670,2/1/2024
2410005671,2/1/2024
2410005674,2/1/2024
2410005678,2/1/2024
2410005683,2/1/2024
2410005685,2/1/2024
2410005686,2/1/2024
2410005688,2/1/2024
2410005694,2/1/2024
2410005697,2/1/2024
2410005706,2/1/2024
2410005714,2/1/2024
2410005722,2/1/2024
2410005731,2/1/2024
2410005748,2/1/2024
2410005750,2/1/2024
2410005753,2/1/2024
2410005756,2/1/2024
2410005761,2/1/2024
2410005764,2/1/2024
2410005765,2/1/2024
2410005767,2/1/2024
2410005768,2/1/2024
2410005771,2/1/2024
2410005776,2/1/2024
2410005777,2/1/2024
2410005788,2/1/2024
2410005797,2/1/2024
2410005799,2/1/2024
2410005808,2/1/2024
2410005816,2/1/2024
2410005818,2/2/2024
2410005820,2/2/2024
2410005821,2/2/2024
2410005827,2/2/2024
2410005830,2/2/2024
2410005839,2/2/2024
2410005840,2/2/2024
2410005845,2/2/2024
2410005848,2/2/2024
2410005851,2/2/2024
2410005852,2/2/2024
2410005854,2/2/2024
2410005886,2/2/2024
2410005888,2/2/2024
2410005891,2/2/2024
2410005892,2/2/2024
2410005896,2/2/2024
2410005897,2/2/2024
2410005901,2/2/2024
2410005904,2/2/2024
2410005908,2/2/2024
